Subfamily	Genus	Species_subspecies_no	Species_no	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Phylogeny_file_path	Notes
Pseudomyrmecinae	Tetraponera	87	87					
Ponerinae	Thaumatomyrmex	13	13					
Myrmicinae	Trachymyrmex	9	9					
Myrmicinae	Tranopelta	2	2					
Myrmicinae	Trichomyrmex	29	26					
Myrmicinae	Tropidomyrmex	1	1					
Dolichoderinae	Turneria	8	8					
Ectatomminae	Typhlomyrmex	11	11		Camacho et al 2022	UCEs	genus_studies/typhlomyrmex/camacho2022/Typhlomyrmex_with_outgroup.tre	
Myrmicinae	Tyrannomyrmex	4	4					
Myrmicinae	Unicumyrmex	1	1					
Formicinae	Uwari	1	1					
Myrmicinae	Veromessor	10	10					
Dorylinae	Vicinopone	1	1					
Myrmicinae	Vitsika	16	16					
Myrmicinae	Vollenhovia	83	66					
Myrmicinae	Vombisidris	19	19					
Ponerinae	Wadeura	4	4					
Myrmicinae	Wasmannia	11	11					
Myrmicinae	Xenomyrmex	5	4					
Myrmicinae	Xerolitor	1	1					
Ponerinae	Xiphopelta	1	1					
Amblyoponinae	Xymmer	3	3					
Dorylinae	Yunodorylus	4	4					
Dorylinae	Zasphinctus	29	29					
Formicinae	Zatania	6	6					
Total		16251	14538					
